system,sigma_max_deg,baseline_survival,S_0,S_2,S_5,S_10,S_15,S_20,S_25,S_30,S_40
HD 184010,15.0,1.0,1.0,1.0,0.95,0.65,0.45,0.15,0.1,0.0,0.0
HD 191939,20.0,1.0,1.0,0.95,1.0,0.95,0.7,0.3,0.4,0.3,0.05
47 UMa,25.0,0.65,0.65,0.8,0.65,0.55,0.55,0.65,0.3,0.4,0.3
HD 27894,25.0,1.0,1.0,1.0,1.0,1.0,0.8,0.65,0.45,0.6,0.35
HIP 111909,30.0,1.0,1.0,1.0,1.0,1.0,0.9,0.65,0.5,0.4,0.35
HD 33142,30.0,1.0,1.0,1.0,1.0,1.0,0.95,0.65,0.6,0.25,0.35
HD 164922,30.0,0.85,0.85,0.95,1.0,1.0,0.9,0.8,0.75,0.35,0.3
YZ Cet,30.0,0.95,0.95,0.95,0.95,1.0,0.75,0.55,0.5,0.3,0.05
HD 142,30.0,0.95,0.95,1.0,0.95,1.0,0.9,0.8,0.55,0.45,0.3
HD 141399,30.0,0.9,0.9,1.0,0.7,1.0,0.8,0.5,0.6,0.2,0.3
GJ 887,30.0,0.95,0.95,0.95,0.95,1.0,0.85,0.7,0.7,0.4,0.4
TYC 1422-614-1,40.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.95,0.8,0.45
HD 28471,40.0,0.95,0.95,1.0,1.0,0.95,0.85,0.95,0.75,0.75,0.4
GJ 849,40.0,1.0,1.0,1.0,1.0,1.0,1.0,0.85,0.75,0.55,0.4
HD 50499,40.0,1.0,1.0,0.95,0.95,1.0,1.0,0.9,0.8,0.6,0.45
75 Cet,40.0,1.0,1.0,1.0,1.0,1.0,0.95,0.9,0.7,0.6,0.45
L 98-59,40.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.7,0.75,0.45
TOI-1062,40.0,1.0,1.0,0.9,0.85,0.8,0.7,0.75,0.55,0.5,0.35
TOI-375,40.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.7,0.5,0.45
HD 147873,40.0,1.0,1.0,1.0,0.95,1.0,1.0,0.75,0.75,0.65,0.45
HD 20781,40.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.55,0.35
61 Vir,,0.95,0.95,0.9,1.0,0.95,1.0,0.95,1.0,0.9,0.95
Barnard's star,,0.6,0.6,0.7,0.8,0.85,0.6,0.35,0.5,0.35,0.35
DMPP-6,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,1.0,0.95
GJ 229,,0.95,0.95,0.85,0.9,0.9,0.75,0.8,0.95,0.95,0.7
HD 104067,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.95,0.7
HD 107148,,0.8,0.8,0.8,0.75,0.95,0.85,0.8,0.95,0.6,0.65
HD 108874,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.6,0.55
HD 125612,,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.9,0.8,0.6
HD 158259,,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.95,1.0,1.0
HD 159868,,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.95,0.9,0.75
HD 1605,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.85,0.6
HD 177830,,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.95,0.85,0.7
HD 189567,,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.85,0.75,0.55
HD 20003,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.7
HD 21693,,1.0,1.0,1.0,1.0,1.0,1.0,0.95,1.0,0.85,0.6
HD 219134,,1.0,1.0,1.0,1.0,1.0,0.95,0.95,0.85,0.8,0.75
HD 39194,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,1.0
HD 48948,,0.95,0.95,1.0,1.0,1.0,0.95,0.95,0.85,0.85,0.75
HD 60532,,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.9,0.7,0.55
HD 94890,,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.8,0.75,0.6
HD 95089,,0.95,0.95,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.55
HD 96700,,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.9,0.75,0.8
HIP 65407,,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.7,0.9,0.5
K2-18,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.8,0.9
Kepler-129,,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.85,0.85,0.8
Kepler-48,,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.95,0.9,0.9
Kepler-56,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.7
Kepler-68,,1.0,1.0,1.0,0.95,1.0,0.95,0.95,1.0,0.9,1.0
TOI-5789,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TOI-6695,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.95,0.7
Wolf 1061,,1.0,1.0,0.95,1.0,0.95,1.0,1.0,1.0,1.0,0.9
rho CrB,,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.8,0.75,0.7
